dataset,speaker_id,l1,gender,utterance_id,textgrid_path,tier_name,start_time,end_time,label,normalized_label,possible_error_type
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.680000,0.750000,N,N,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.750000,0.840000,"T,D,s","T,D,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.840000,0.970000,IY0,IY0,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.970000,1.010000,IH0,IH0,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,1.010000,1.060000,"TH,T,s","TH,T,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,1.060000,1.750000,sp,sp,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,1.750000,1.890000,T,T,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,1.890000,2.050000,"AY1,AA*,s","AY1,AA*,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.050000,2.210000,M,M,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.210000,2.270000,sp,sp,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.270000,2.390000,"DH,D,s ","DH,D,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.390000,2.490000,AE1,AE1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.490000,2.620000,T,T,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.620000,2.740000,IY1,IY1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.740000,2.816342,V,V,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.816342,2.860000,"sil,AH0,a","sil,AH0,a",addition
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.860000,2.910000,N,N,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,2.910000,3.020000,IH0,IH0,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.020000,3.250000,NG,NG,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.250000,3.280000,sp,sp,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.280000,3.330000,"DH,D,s ","DH,D,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.330000,3.470000,AH0,AH0,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.470000,3.580000,T,T,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.580000,3.680000,UW1,UW1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.680000,3.810000,M,M,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.810000,3.910000,EH1,EH1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,3.910000,4.070000,N,N,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.070000,4.320000,SH,SH,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.320000,4.410000,"UH1,AO1,s","UH1,AO1,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.410000,4.640000,K,K,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.640000,4.820000,sp,sp,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.820000,4.890000,HH,HH,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.890000,4.990000,"AE1,EH1,s","AE1,EH1,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,4.990000,5.080000,N,N,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,5.080000,5.140000,"D,sil,d ","D,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,5.140000,5.250000,"Z,S,s ","Z,S,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,5.250000,5.280000,sp,sp,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,5.280000,5.300000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,0.000000,0.180000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,0.180000,0.230000,"ɹ,sil,d ","ɹ,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,0.230000,0.290000,"ð,d,s ","ð,d,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,0.290000,0.750000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,0.750000,0.840000,"tʰ,t,s","tʰ,t,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,0.840000,1.010000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,1.010000,1.060000,"θ,t,s","θ,t,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,1.060000,1.890000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,1.890000,2.050000,"aɪ,a,s","aɪ,a,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,2.050000,2.270000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,2.270000,2.390000,"ð,d,s ","ð,d,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,2.390000,2.816342,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,2.816342,2.860000,"sil,ə,a","sil,ə,a",addition
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,2.860000,3.280000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,3.280000,3.330000,"ð,d,s ","ð,d,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,3.330000,4.320000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,4.320000,4.410000,"ʊ,ɔ,s","ʊ,ɔ,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,4.410000,4.890000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,4.890000,4.990000,"æ,ɛ,s","æ,ɛ,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,4.990000,5.080000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,5.080000,5.140000,"d,sil,d ","d,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,5.140000,5.250000,"z,s,s ","z,s,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,IPA,5.250000,5.300000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,0.000000,0.050000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,0.050000,0.360000,will,will,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,0.360000,0.610000,we,we,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,0.610000,0.950000,ever,ever,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,0.950000,1.400000,forget,forget,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,1.400000,1.660000,it,it,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,words,1.660000,1.720000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.000000,0.050000,sil,sil,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.050000,0.160000,W,W,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.160000,0.290000,"IH1,IY1,S","IH1,IY1,S",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.290000,0.360000,"L,sil,d ","L,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.360000,0.430000,W,W,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.430000,0.610000,IY1,IY1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.610000,0.770000,EH1,EH1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.770000,0.860000,V,V,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.860000,0.950000,"ER0,AH0,s ","ER0,AH0,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,0.950000,1.040000,F,F,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.040000,1.070000,AO0,AO0,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.070000,1.110000,"R,sil,d ","R,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.110000,1.180000,G,G,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.180000,1.290000,EH1,EH1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.290000,1.400000,T,T,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.400000,1.520000,"IH1,IY1,s","IH1,IY1,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.520000,1.660000,T,T,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.660000,1.700000,sp,sp,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,phones,1.700000,1.720000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,0.000000,0.160000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,0.160000,0.290000,"ɪ,i,s","ɪ,i,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,0.290000,0.360000,"l,sil,d ","l,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,0.360000,0.860000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,0.860000,0.950000,"əɹ,ə,s ","əɹ,ə,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,0.950000,1.070000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,1.070000,1.110000,"ɹ,sil,d ","ɹ,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,1.110000,1.400000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,1.400000,1.520000,"ɪ,i,s","ɪ,i,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0005,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0005.TextGrid,IPA,1.520000,1.720000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0006,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0006.TextGrid,words,0.000000,0.060000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0006,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0006.TextGrid,words,0.060000,0.260000,god,god,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0006,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0006.TextGrid,words,0.260000,0.630000,bless,bless,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0006,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0006.TextGrid,words,0.630000,0.900000,em,em,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0006,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0006.TextGrid,words,0.900000,1.230000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0006,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0006.TextGrid,words,1.230000,1.420000,i,i,unknown
