dataset,speaker_id,l1,gender,split,audio_path,utterance_id,start_time,end_time,label,error_type,target_text
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,5.080000,5.140000,"d,sil,d ",deletion,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,5.140000,5.250000,"z,s,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,0.160000,0.290000,"IH1,IY1,S",substitution,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,0.290000,0.360000,"L,sil,d ",deletion,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,0.860000,0.950000,"ER0,AH0,s ",substitution,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,1.070000,1.110000,"R,sil,d ",deletion,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,1.400000,1.520000,"IH1,IY1,s",substitution,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,0.160000,0.290000,"ɪ,i,s",substitution,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,0.290000,0.360000,"l,sil,d ",deletion,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,0.860000,0.950000,"əɹ,ə,s ",substitution,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,1.070000,1.110000,"ɹ,sil,d ",deletion,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,arctic_a0005,1.400000,1.520000,"ɪ,i,s",substitution,Will we ever forget it
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,0.230000,0.260000,"D,D*,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,1.510000,1.600000,"OW1,AO1,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,1.600000,1.700000,"P,V,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,1.880000,1.910000,"L,sil,d ",deletion,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,2.220000,2.260000,"AA1,AH0,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,2.980000,3.030000,"DH,D,s ",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,0.230000,0.260000,"d,ʔ,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,1.510000,1.600000,"oʊ,ɔ,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,1.600000,1.700000,"p,v,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,1.880000,1.910000,"l,sil,d ",deletion,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,2.220000,2.260000,"ɑ,ə,s",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,2.980000,3.030000,"ð,d,s ",substitution,God bless 'em I hope I'll go on seeing them forever
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,0.440000,0.490000,"AO1,OW1,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,0.490000,0.640000,"L,N,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,0.770000,0.800000,"Z,sil,d ",deletion,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,2.110000,2.170000,"DH,D,s ",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,3.475332,3.618307,"AH0,AE0,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,3.879510,4.173707,"V,F,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,0.440000,0.490000,"ɔ,oʊ,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,0.490000,0.640000,"l,n,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,0.770000,0.800000,"z,sil,d ",deletion,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,2.110000,2.170000,"ð,d,s ",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,3.475332,3.618307,"ə,æ,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,arctic_a0007,3.879510,4.173707,"v,f,s",substitution,And you always want to see it in the superlative degree
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,0.430000,0.540000,"D,T,s ",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.350000,1.380000,"R,sil,d ",deletion,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.610000,1.710000,"ER0,AH0,s ",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.920000,2.020000,"EY1,AE1,s",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,2.410000,2.470000,"T,sil,d ",deletion,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,2.710000,2.840000,"AY1,AA*,s",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,0.430000,0.540000,"d,t,s ",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.350000,1.380000,"ɹ,sil,d ",deletion,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.610000,1.710000,"əɹ,ə,s ",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.920000,2.020000,"eɪ,æ,s",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,2.410000,2.470000,"t,sil,d ",deletion,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,2.710000,2.840000,"aɪ,a,s",substitution,Gad your letter came just in time
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,0.030000,0.140000,"AY0,AA*,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,0.190000,0.260000,"P,B,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,0.970000,1.020000,"AH0,OW*,s ",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.020000,1.060000,"L,sil,d ",deletion,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.400000,1.490000,"D,sil,d ",deletion,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.950000,2.060000,"AH1,AA*,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,2.980000,3.010000,"K,sil,d ",deletion,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,3.580000,3.680000,"EY1,EH*,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,0.030000,0.140000,"aɪ,a,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,0.190000,0.260000,"pʰ,p,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,0.970000,1.020000,"ə,o,s ",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.020000,1.060000,"l,sil,d ",deletion,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.400000,1.490000,"d,sil,d ",deletion,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.950000,2.060000,"ʌ,a,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,2.980000,3.010000,"k,sil,d ",deletion,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,3.580000,3.680000,"eɪ,e,s",substitution,I'm playing a single hand in what looks like a losing game
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,0.190000,0.240000,"F,B,s",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,0.590000,0.650000,"ER0,AH0,s ",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,0.920000,0.990000,"IH0,IY0,s",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,1.550000,1.650000,"ER0,AH0,s ",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,0.190000,0.240000,"f,b,s",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,0.590000,0.650000,"əɹ,ə,s ",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,0.920000,0.990000,"ɪ,i,s",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,arctic_a0011,1.550000,1.650000,"əɹ,ə,s ",substitution,If I ever needed a fighter in my life I need one now
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,1.040000,1.220000,"D,T,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,2.020000,2.080000,"R,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,2.250000,2.430000,"ER0,AH0,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,2.510000,2.580000,"DH,D,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,2.910000,3.010000,"Z,S,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,3.970000,4.190000,"AH1,AO1,s",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,4.190000,4.270000,"V,P,s",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,4.810000,4.870000,"L,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,5.190000,5.280000,"S,Z,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,5.280000,5.310000,"T,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,6.120000,6.200000,"AH0,IY0,s",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,6.380000,6.540000,"AH0,EY0,s",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,6.540000,6.580000,"T,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,6.830000,6.950000,"AH0,IY0,s",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,6.950000,7.080000,"Z,S,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,7.080000,7.170000,"IY1,IH1,s",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,1.040000,1.220000,"d,t,s ",substitution,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,2.020000,2.080000,"ɹ,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,2.250000,2.430000,"əɹ,ə,s ",substitution,He was a head shorter than his companion of almost delicate physique
