speaker_id,utterance_id,audio_path,start_time,end_time,source_error_type,true_binary_error_type,predicted_binary_error_type,confidence,is_correct,prob_addition,prob_non_addition
THV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0527.wav,1.16,1.25,substitution,non_addition,addition,0.6043039560317993,False,0.6043039560317993,0.39569607377052307
HQTV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0465.wav,3.08,3.15,substitution,non_addition,addition,0.5943193435668945,False,0.5943193435668945,0.4056806266307831
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,2.57,2.67,substitution,non_addition,addition,0.5938843488693237,False,0.5938843488693237,0.4061156213283539
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,0.574935,0.68,addition,addition,non_addition,0.5821467041969299,False,0.4178532660007477,0.5821467041969299
THV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0465.wav,0.51,0.598069,substitution,non_addition,addition,0.5803542137145996,False,0.5803542137145996,0.4196458160877228
HQTV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0465.wav,3.97456,4.07,addition,addition,non_addition,0.5776765942573547,False,0.42232346534729004,0.5776765942573547
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,3.91,4.0,substitution,non_addition,addition,0.5727335214614868,False,0.5727335214614868,0.42726650834083557
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,3.195169,3.41,substitution,non_addition,addition,0.5617863535881042,False,0.5617863535881042,0.43821364641189575
PNV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0469.wav,2.18,2.25,substitution,non_addition,addition,0.5604570508003235,False,0.5604570508003235,0.4395430088043213
PNV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0503.wav,3.66,3.72,deletion,non_addition,addition,0.5589437484741211,False,0.5589437484741211,0.44105619192123413
HQTV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0488.wav,4.83444,4.914694,addition,addition,non_addition,0.5565732717514038,False,0.4434267580509186,0.5565732717514038
TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,4.126406,4.179873,addition,addition,non_addition,0.5563763976097107,False,0.4436235725879669,0.5563763976097107
PNV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0469.wav,1.66,1.77,substitution,non_addition,addition,0.5540940165519714,False,0.5540940165519714,0.4459059238433838
PNV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0503.wav,3.29,3.36,substitution,non_addition,addition,0.5515875220298767,False,0.5515875220298767,0.4484124779701233
TLV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0469.wav,3.415836,3.67,addition,addition,non_addition,0.5514178276062012,False,0.44858214259147644,0.5514178276062012
PNV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0465.wav,3.83,3.9,substitution,non_addition,addition,0.5499342083930969,False,0.5499342083930969,0.4500657916069031
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,4.12,4.23,substitution,non_addition,addition,0.5481101870536804,False,0.5481101870536804,0.45188984274864197
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,3.59,3.66,substitution,non_addition,addition,0.5474039316177368,False,0.5474039316177368,0.45259609818458557
HQTV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0509.wav,2.32,2.39,substitution,non_addition,addition,0.5457560420036316,False,0.5457560420036316,0.45424389839172363
THV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0518.wav,1.66,1.73,deletion,non_addition,addition,0.545382559299469,False,0.545382559299469,0.454617440700531
TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,3.698202,4.030929,deletion,non_addition,addition,0.5444909930229187,False,0.5444909930229187,0.4555089771747589
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.25,0.32,substitution,non_addition,addition,0.5430908203125,False,0.5430908203125,0.4569091498851776
PNV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0465.wav,1.25,1.34,substitution,non_addition,addition,0.5430124402046204,False,0.5430124402046204,0.45698752999305725
PNV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0503.wav,0.59,0.65,substitution,non_addition,addition,0.542046308517456,False,0.542046308517456,0.45795372128486633
HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,0.31,0.38,deletion,non_addition,addition,0.5397974252700806,False,0.5397974252700806,0.46020257472991943
THV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0509.wav,0.3,0.36,substitution,non_addition,addition,0.5368396639823914,False,0.5368396639823914,0.46316030621528625
PNV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0469.wav,0.96,1.03,deletion,non_addition,addition,0.5333900451660156,False,0.5333900451660156,0.466609925031662
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,3.51,3.59,substitution,non_addition,addition,0.5323128700256348,False,0.5323128700256348,0.46768712997436523
HQTV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0509.wav,2.22,2.28,substitution,non_addition,addition,0.5313791036605835,False,0.5313791036605835,0.46862083673477173
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,2.570345,2.643577,addition,addition,non_addition,0.5292747020721436,False,0.47072526812553406,0.5292747020721436
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,3.45,3.52,deletion,non_addition,addition,0.5271813869476318,False,0.5271813869476318,0.47281864285469055
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.565515,1.66,addition,addition,non_addition,0.5269337892532349,False,0.4730662405490875,0.5269337892532349
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.25,1.31263,substitution,non_addition,addition,0.5255270600318909,False,0.5255270600318909,0.47447291016578674
PNV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0518.wav,1.55,1.62,deletion,non_addition,addition,0.5237129926681519,False,0.5237129926681519,0.47628700733184814
THV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0534.wav,4.16,4.42,substitution,non_addition,addition,0.5223562121391296,False,0.5223562121391296,0.477643758058548
PNV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0509.wav,2.23,2.29,substitution,non_addition,addition,0.5176081657409668,False,0.5176081657409668,0.482391893863678
HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,1.16,1.23,deletion,non_addition,addition,0.5173439979553223,False,0.5173439979553223,0.4826560318470001
THV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0509.wav,1.04,1.17,substitution,non_addition,addition,0.517132043838501,False,0.517132043838501,0.4828679859638214
TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,2.69,2.75,deletion,non_addition,addition,0.5153913497924805,False,0.5153913497924805,0.48460862040519714
HQTV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0488.wav,0.49,0.55,deletion,non_addition,addition,0.5139034986495972,False,0.5139034986495972,0.48609650135040283
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.88,1.97,substitution,non_addition,addition,0.5133666396141052,False,0.5133666396141052,0.48663339018821716
TLV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0534.wav,0.13,0.2,deletion,non_addition,addition,0.513145923614502,False,0.513145923614502,0.48685404658317566
PNV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0518.wav,0.23,0.29,deletion,non_addition,addition,0.5129196643829346,False,0.5129196643829346,0.4870803654193878
HQTV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0509.wav,0.26,0.33,substitution,non_addition,addition,0.5104182362556458,False,0.5104182362556458,0.489581823348999
THV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0469.wav,0.83,0.89,substitution,non_addition,addition,0.5103714466094971,False,0.5103714466094971,0.4896285831928253
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,4.5,4.57,deletion,non_addition,addition,0.5082818269729614,False,0.5082818269729614,0.4917181730270386
THV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0469.wav,0.25,0.33,substitution,non_addition,addition,0.5072829127311707,False,0.5072829127311707,0.49271708726882935
TLV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0534.wav,2.24,2.32,substitution,non_addition,addition,0.5045788288116455,False,0.5045788288116455,0.4954211413860321
THV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0465.wav,3.19,3.237365,addition,addition,non_addition,0.5043192505836487,False,0.4956807494163513,0.5043192505836487
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,0.88,0.96,deletion,non_addition,addition,0.503452718257904,False,0.503452718257904,0.49654725193977356
TLV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0527.wav,0.43,0.5,substitution,non_addition,addition,0.5030401349067688,False,0.5030401349067688,0.4969598352909088
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,1.53,1.63,substitution,non_addition,addition,0.5030100345611572,False,0.5030100345611572,0.49698999524116516
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.62,2.76664,addition,addition,non_addition,0.5024494528770447,False,0.4975505471229553,0.5024494528770447
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,0.18,0.28,substitution,non_addition,addition,0.5011231303215027,False,0.5011231303215027,0.4988768994808197
TLV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0488.wav,2.29,2.35,substitution,non_addition,addition,0.5005068182945251,False,0.5005068182945251,0.49949324131011963
