split,speaker_id,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
val,HQTV,arctic_b0342,0.96,1.03,"N,M,s",substitution,addition,0.3501788079738617,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,2.33,2.36,"Y,IH,s",substitution,deletion,0.5527593493461609,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,2.59665,2.64,"sil,R,a",addition,deletion,0.49500253796577454,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,3.1,3.15,"L,W,s",substitution,addition,0.3774431645870209,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0355,1.18,1.23,"IH0,IY,s",substitution,deletion,0.5668818950653076,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,2.49,2.52,"DH,D,s",substitution,deletion,0.5974854826927185,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,2.74,2.85,"ER1,UH,s",substitution,addition,0.43173280358314514,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,3.37,3.44,"JH,S,s",substitution,addition,0.5132485628128052,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,3.77,3.85,"ER0,UH,s",substitution,deletion,0.39319589734077454,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0358,4.32,4.36,"DH,D,s",substitution,deletion,0.5118539929389954,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.45,4.5,"R,AH,s",substitution,deletion,0.43257033824920654,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.58,4.65816,"sil,W,a",addition,substitution,0.4229941666126251,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.65816,4.727298,"sil,AH,a",addition,substitution,0.8818255662918091,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.727298,4.768829,"DH,D,s",substitution,deletion,0.576079249382019,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.93,5.02,"L,sil,d",deletion,substitution,0.595080554485321,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0380,0.35,0.44,"D,Z,s",substitution,addition,0.41644996404647827,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0380,0.82,0.86,"L,W,s",substitution,deletion,0.5386778116226196,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0380,3.35,3.43,"D,sil,d",deletion,substitution,0.37219128012657166,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0386,0.49,0.57,"AH0,sil,d",deletion,addition,0.44089844822883606,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0386,2.8,2.84,"R,IH,s",substitution,deletion,0.5754814147949219,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0386,3.73,3.78,"DH,N,s",substitution,deletion,0.38317859172821045,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0386,4.3,4.41,"Z,S,s",substitution,addition,0.5957005620002747,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0393,0.06,0.18,"AY1,sil,d",deletion,substitution,0.9321699142456055,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,HQTV,arctic_b0393,0.32,0.36,"Z,S,s",substitution,deletion,0.528294026851654,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,HQTV,arctic_b0393,2.72,2.772935,"sil,HH,a",addition,substitution,0.5163359642028809,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,HQTV,arctic_b0415,2.38,2.46,"D,sil,d",deletion,addition,0.3737614154815674,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0415.wav,There was nothing for us but the wide raw ocean
val,HQTV,arctic_b0416,2.65,2.72,"D,sil,d",deletion,addition,0.355175256729126,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,HQTV,arctic_b0416,3.22,3.26,"DH,D,s",substitution,deletion,0.552423894405365,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,HQTV,arctic_b0422,1.47,1.55,"ZH,SH,s",substitution,addition,0.49887245893478394,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0422.wav,This was when the explosion occurred
val,PNV,arctic_b0315,0.12,0.19,"N,sil,d",deletion,addition,0.3437303304672241,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,0.19,0.27,"D,sil,d",deletion,substitution,0.5247827768325806,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,1.05,1.11,"R,AH,s",substitution,deletion,0.43986940383911133,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,1.73,2.142332,"N,F,s",substitution,addition,0.6433181166648865,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,2.142332,2.263313,"sil,S,a",addition,substitution,0.5776506662368774,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,2.91,2.97,"TH,F,s",substitution,deletion,0.3688870966434479,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,3.18,3.21,"DH,D,s",substitution,deletion,0.6529343724250793,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0315,3.44,3.51,"L,W,s",substitution,deletion,0.4417450726032257,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,PNV,arctic_b0320,1.77,1.84,"S,Z,s",substitution,addition,0.6782369613647461,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,PNV,arctic_b0320,4.01,4.13,"D,sil,d",deletion,substitution,0.42632803320884705,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,PNV,arctic_b0320,4.48,4.53,"V,P,s",substitution,deletion,0.6070435047149658,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,PNV,arctic_b0323,1.24,1.3,"ER1,IY,s",substitution,deletion,0.421424001455307,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,PNV,arctic_b0342,0.52,0.55,"P,B,s",substitution,deletion,0.6573010683059692,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,PNV,arctic_b0355,1.6,1.66,"V,B,s",substitution,deletion,0.48789459466934204,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,PNV,arctic_b0355,2.33132,2.365452,"DH,D,s",substitution,deletion,0.5243772268295288,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,PNV,arctic_b0355,4.26,4.34,"ER0,AH,s",substitution,addition,0.38212454319000244,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,PNV,arctic_b0355,4.51,4.57,"R,sil,d",deletion,addition,0.3815939724445343,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,PNV,arctic_b0358,3.75,3.85,"R,AH,s",substitution,addition,0.5237108469009399,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,PNV,arctic_b0358,4.18,4.31,"L,sil,d",deletion,substitution,0.552819550037384,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,PNV,arctic_b0380,1.03,1.11,"L,W,s",substitution,addition,0.4299944043159485,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,PNV,arctic_b0380,1.43,1.5,"F,V,s",substitution,addition,0.584733784198761,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,PNV,arctic_b0380,2.44,2.53,"D,sil,d",deletion,substitution,0.9067292213439941,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,PNV,arctic_b0380,4.0,4.04,"NG,N,s",substitution,deletion,0.6014514565467834,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,PNV,arctic_b0393,0.55,0.63,"L,W,s",substitution,addition,0.41099536418914795,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,PNV,arctic_b0393,1.47,1.52,"P,B,s",substitution,deletion,0.5361031293869019,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,PNV,arctic_b0415,1.61,1.64,"DH,D,s",substitution,deletion,0.49687501788139343,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0415.wav,There was nothing for us but the wide raw ocean
val,PNV,arctic_b0416,0.85,1.1,"Z,S,s",substitution,addition,0.6614545583724976,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,PNV,arctic_b0416,2.76,2.81,"AE1,EH,s",substitution,addition,0.5092440247535706,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,PNV,arctic_b0416,3.86,3.89,"DH,D,s",substitution,deletion,0.542672336101532,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,PNV,arctic_b0425,2.08,2.14,"L,sil,d",deletion,addition,0.3570595383644104,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,PNV,arctic_b0425,2.739264,2.8,"sil,D,a",addition,deletion,0.3626028597354889,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,PNV,arctic_b0425,3.33,3.39,"AA1,AH,s",substitution,addition,0.3700161874294281,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,PNV,arctic_b0425,3.46,3.57,"ER0,AH,s",substitution,addition,0.49612608551979065,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0315,0.21,0.25,"DH,D,s",substitution,deletion,0.44153502583503723,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,THV,arctic_b0315,0.83,0.9,"R,sil,d",deletion,substitution,0.3935084939002991,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,THV,arctic_b0315,1.34,1.38,"AA2,AH,s",substitution,deletion,0.5824723839759827,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,THV,arctic_b0320,2.5,2.57,"AA1,OW,s",substitution,deletion,0.34810999035835266,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,THV,arctic_b0320,4.623871,4.69,"sil,AH,a",addition,substitution,0.3983362019062042,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,THV,arctic_b0323,0.83,0.91,"AE1,EH,s",substitution,addition,0.4241476058959961,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,THV,arctic_b0323,2.62,2.7,"R,AH,s",substitution,addition,0.4586421847343445,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,THV,arctic_b0323,3.47,3.55,"D,sil,d",deletion,addition,0.41157975792884827,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,THV,arctic_b0323,3.99,4.02,"S,sil,d",deletion,addition,0.48989108204841614,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,THV,arctic_b0323,4.17,4.264262,"sil,IY,a",addition,substitution,0.7648928761482239,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,THV,arctic_b0323,4.69,4.74,"ER0,AH,s",substitution,deletion,0.38604751229286194,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,THV,arctic_b0342,2.27,2.34,"V,B,s",substitution,deletion,0.4784216582775116,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,THV,arctic_b0342,2.94,2.99,"L,W,s",substitution,deletion,0.4286465644836426,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,THV,arctic_b0355,1.25,1.33,"IH0,IY,s",substitution,addition,0.4254917502403259,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,THV,arctic_b0355,1.551256,1.7,"sil,SH,a",addition,substitution,0.8738214373588562,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,THV,arctic_b0355,2.81,2.85,"DH,D,s",substitution,deletion,0.3919757008552551,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,THV,arctic_b0355,3.29,3.34,"K,K*,s",substitution,deletion,0.5771203637123108,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,THV,arctic_b0355,4.4,4.45,"JH,D,s",substitution,addition,0.46455490589141846,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,THV,arctic_b0355,5.55,5.63,"D,sil,d",deletion,addition,0.413298100233078,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,THV,arctic_b0358,0.0,0.05,"DH,D,s",substitution,addition,0.5189568996429443,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,THV,arctic_b0358,0.38,0.41,"P,B,s",substitution,deletion,0.5974398851394653,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,THV,arctic_b0358,1.55,1.62,"F,T*,s",substitution,deletion,0.4378739893436432,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,THV,arctic_b0358,2.12,2.16,"Z,Y,s",substitution,deletion,0.6593838334083557,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,THV,arctic_b0358,4.37,4.47,"L,sil,d",deletion,addition,0.45743072032928467,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,THV,arctic_b0358,4.57,4.61,"R,W,s",substitution,deletion,0.39560049772262573,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,THV,arctic_b0380,2.02,2.11,"D,sil,d",deletion,substitution,0.5921872854232788,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,THV,arctic_b0386,0.62,0.65,"AH0,S,s",substitution,deletion,0.6211317181587219,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,THV,arctic_b0386,2.0,2.05,"AE1,EH,s",substitution,deletion,0.42898887395858765,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,THV,arctic_b0386,2.45,2.49,"R,AH,s",substitution,deletion,0.6419781446456909,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,THV,arctic_b0393,0.35,0.4,"Z,S,s",substitution,deletion,0.4137830138206482,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,THV,arctic_b0393,0.72,0.77,"L,W,s",substitution,deletion,0.4470340311527252,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,THV,arctic_b0393,2.03,2.08,"P,B,s",substitution,deletion,0.40498584508895874,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,THV,arctic_b0393,2.477801,2.5,"NG,N,s",substitution,deletion,0.6360606551170349,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,THV,arctic_b0393,2.5,2.53,"sil,ZH,a",addition,deletion,0.697670042514801,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0393.wav,I was still weak from my prolonged immersion
val,THV,arctic_b0416,0.77,1.12,"Z,S,s",substitution,addition,0.5952379703521729,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,THV,arctic_b0416,2.52,2.57,"N,sil,d",deletion,addition,0.41639983654022217,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,THV,arctic_b0416,2.671964,2.74,"sil,IH,a",addition,substitution,0.44781771302223206,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0416.wav,I arose obediently and went down the beach
val,THV,arctic_b0422,0.34,0.42,"AH1,OW,s",substitution,addition,0.45606520771980286,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0422.wav,This was when the explosion occurred
val,THV,arctic_b0422,0.82,0.85,"IY0,IH,s",substitution,deletion,0.5636945962905884,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0422.wav,This was when the explosion occurred
val,THV,arctic_b0422,1.94,2.19,"ER1,UH,s",substitution,addition,0.5985422134399414,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0422.wav,This was when the explosion occurred
val,THV,arctic_b0425,0.51,0.59,"ER1,AH,s",substitution,addition,0.44120052456855774,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0425,0.98,1.13,"JH,CH,s",substitution,addition,0.5045366287231445,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0425,1.4,1.52,"N,NG,s",substitution,addition,0.5403658747673035,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0425,1.8,1.88,"D,sil,d",deletion,addition,0.3793463408946991,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0425,2.226254,2.27,"sil,D,a",addition,deletion,0.42149192094802856,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0425,2.84,2.93,"ER0,AH,s",substitution,addition,0.43429574370384216,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,THV,arctic_b0425,3.36,3.51027,"sil,CH,a",addition,substitution,0.7522528171539307,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,TLV,arctic_b0315,0.3,0.39,"D,sil,d",deletion,substitution,0.3581714332103729,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,TLV,arctic_b0315,0.39,0.42,"DH,D,s",substitution,deletion,0.546912670135498,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
